"Epoch","Metric","Value"
1,"AUROC",0.636953232822643
1,"MRR",0.040628071455247
1,"Loss",0.980685220038059
2,"AUROC",0.645375854039382
2,"MRR",0.0409093119656556
2,"Loss",0.909787390819307
3,"AUROC",0.674794772792492
3,"MRR",0.0541251174130786
3,"Loss",0.832691732979337
4,"AUROC",0.697190224903207
4,"MRR",0.0639644988624256
4,"Loss",0.767573239503326
5,"AUROC",0.713980941769984
5,"MRR",0.0727992921608447
5,"Loss",0.733156935099341
6,"AUROC",0.727028539464662
6,"MRR",0.0902920630066503
6,"Loss",0.67988795647008
7,"AUROC",0.755730753604246
7,"MRR",0.102323135620358
7,"Loss",0.642304653726903
8,"AUROC",0.757382164007103
8,"MRR",0.113635828341866
8,"Loss",0.587092645674623
9,"AUROC",0.787628260070187
9,"MRR",0.120875688583905
9,"Loss",0.554153093214464
10,"AUROC",0.78325386944278
10,"MRR",0.118139527530891
10,"Loss",0.541450017684876
11,"AUROC",0.805487819571712
11,"MRR",0.139417685677326
11,"Loss",0.504320761311337
12,"AUROC",0.82373234476089
12,"MRR",0.13340839256336
12,"Loss",0.478417499567983
13,"AUROC",0.80388785123141
13,"MRR",0.14341328754644
13,"Loss",0.465314025687941
14,"AUROC",0.821563642093217
14,"MRR",0.146521687766513
14,"Loss",0.42518187260616
15,"AUROC",0.830819370329289
15,"MRR",0.153397807611879
15,"Loss",0.382542882904437
16,"AUROC",0.844418533296949
16,"MRR",0.15998036235704
16,"Loss",0.38629741973875
17,"AUROC",0.843906627372086
17,"MRR",0.164340651223998
17,"Loss",0.376668475003791
18,"AUROC",0.831231054584522
18,"MRR",0.168021364320276
18,"Loss",0.368988640106941
19,"AUROC",0.838757125857925
19,"MRR",0.172805274351579
19,"Loss",0.31937320073766
20,"AUROC",0.874176335843634
20,"MRR",0.173690230540233
20,"Loss",0.307572918280098
21,"AUROC",0.866070359625978
21,"MRR",0.17720035799094
21,"Loss",0.299045812195899
22,"AUROC",0.858788615052259
22,"MRR",0.174787549962374
22,"Loss",0.283570916221764
23,"AUROC",0.875818309251206
23,"MRR",0.184335533685109
23,"Loss",0.276557606937409
24,"AUROC",0.890733430541482
